Feature,Count,Mean,Std,Min,Q1 (25%),Median (50%),Q3 (75%),Max
age,302,54.421,9.048,29.0,48.0,55.5,61.0,77.0
sex,302,0.682,0.466,0.0,0.0,1.0,1.0,1.0
cp,302,0.964,1.032,0.0,0.0,1.0,2.0,3.0
trestbps,302,131.603,17.563,94.0,120.0,130.0,140.0,200.0
chol,302,246.5,51.753,126.0,211.0,240.5,274.75,564.0
fbs,302,0.149,0.357,0.0,0.0,0.0,0.0,1.0
restecg,302,0.526,0.526,0.0,0.0,1.0,1.0,2.0
thalach,302,149.57,22.904,71.0,133.25,152.5,166.0,202.0
exang,302,0.328,0.47,0.0,0.0,0.0,1.0,1.0
oldpeak,302,1.043,1.161,0.0,0.0,0.8,1.6,6.2
slope,302,1.397,0.616,0.0,1.0,1.0,2.0,2.0
ca,302,0.719,1.007,0.0,0.0,0.0,1.0,4.0
thal,302,2.315,0.613,0.0,2.0,2.0,3.0,3.0
